List,Card Name,Card Description
Segunda-feira,09:15-10:00 - Atualizar indicadores da semana anterior e alinhar foco semanal.,"Dia/recorrência: Segunda-feira
Período: 09:15-10:00
Meta/resultado: Leads, concorrentes, matrículas, receita, avaliações Google e pendências revisadas.
Onde comprovar: Dashboard Mensal/Registro Diário
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Dashboard/Registro atualizado
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,09:00 - Registrar entrada no ponto biométrico.,"Dia/recorrência: Segunda-feira
Período: 09:00
Meta/resultado: Ponto registrado.
Onde comprovar: Sistema de ponto
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro biométrico
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"09:00-09:10 - Abrir WhatsApp Business, Instagram, e-mail, planilha/CRM, agenda e controles do","Dia/recorrência: Segunda-feira
Período: 09:00-09:10
Meta/resultado: Canais ativos e agenda conferida.
Onde comprovar: Planilha/CRM/agenda
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Print/observação de agenda
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,09:10-09:20 - Ler posicionamento da escola e revisar discurso de valor antes do preço.,"Dia/recorrência: Segunda-feira
Período: 09:10-09:20
Meta/resultado: Ritual de confiança concluído.
Onde comprovar: Checklist
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Checklist marcado + observação curta
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,09:20-10:00 - Responder leads novos e pendentes com abordagem consultiva.,"Dia/recorrência: Segunda-feira
Período: 09:20-10:00
Meta/resultado: Lead respondido em até 10 minutos quando dentro do horário.
Onde comprovar: WhatsApp/Instagram/controle de leads
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro com horário do primeiro contato
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"10:00-10:30 - Qualificar leads: idade, interesse, objetivo da família, disponibilidade e decis","Dia/recorrência: Segunda-feira
Período: 10:00-10:30
Meta/resultado: Campos essenciais preenchidos.
Onde comprovar: Controle de leads
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Linha do lead preenchida
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"10:30-11:00 - Fazer ligações ou mensagens ativas para leads novos, mornos ou de reativação.","Dia/recorrência: Segunda-feira
Período: 10:30-11:00
Meta/resultado: Meta diária: mínimo 5 contatos ativos.
Onde comprovar: Controle de leads/agenda
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Data, horário, resultado e próxima ação
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"11:00-11:30 - Executar pesquisa de concorrente por telefone, WhatsApp, Instagram, site ou mens","Dia/recorrência: Segunda-feira
Período: 11:00-11:30
Meta/resultado: Meta diária: 1 concorrente pesquisado.
Onde comprovar: Pesquisa Concorrentes
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Linha completa + print/link/anotação
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"11:30-12:00 - Registrar contatos, status, etiquetas e próxima ação.","Dia/recorrência: Segunda-feira
Período: 11:30-12:00
Meta/resultado: Nenhum contato relevante sem registro.
Onde comprovar: Controle de leads/WhatsApp Business
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Status atualizado
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,12:00 - Registrar saída para almoço no ponto biométrico.,"Dia/recorrência: Segunda-feira
Período: 12:00
Meta/resultado: Ponto do almoço registrado.
Onde comprovar: Sistema de ponto
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro biométrico
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
