List,Card Name,Card Description
Segunda-feira,"09:20-10:00 - Alinhar foco pedagógico da semana: turmas, reposições, alunos que exigem atenção","Dia/recorrência: Segunda-feira
Período: 09:20-10:00
Meta/resultado: Planejamento semanal revisado.
Onde comprovar: Agenda/Drive
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Agenda/plano semanal
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,09:00 - Registrar entrada no ponto biométrico.,"Dia/recorrência: Segunda-feira
Período: 09:00
Meta/resultado: Ponto registrado.
Onde comprovar: Sistema de ponto
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro biométrico
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"09:00-09:20 - Checar agenda pedagógica, alunos previstos, aulas experimentais e materiais nece","Dia/recorrência: Segunda-feira
Período: 09:00-09:20
Meta/resultado: Agenda conferida.
Onde comprovar: Agenda/planilha
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Checklist/agenda com observação
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"09:20-10:00 - Preparar sala, kits, peças, computadores, apostilas, robôs e recursos didáticos.","Dia/recorrência: Segunda-feira
Período: 09:20-10:00
Meta/resultado: Ambiente pronto antes das aulas.
Onde comprovar: Drive/checklist
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Foto rápida ou checklist marcado
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,10:00-11:30 - Conduzir ou apoiar aulas/experiências conforme metodologia e planejamento.,"Dia/recorrência: Segunda-feira
Período: 10:00-11:30
Meta/resultado: Aula executada com segurança e organização.
Onde comprovar: Sistema/planilha
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro de aula/frequência
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"11:30-12:00 - Registrar frequência, evolução, dificuldades e observações objetivas dos alunos.","Dia/recorrência: Segunda-feira
Período: 11:30-12:00
Meta/resultado: Registros concluídos no mesmo dia.
Onde comprovar: Sistema/planilha pedagógica
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Linha ou relatório preenchido
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,12:00 - Registrar saída para almoço no ponto biométrico.,"Dia/recorrência: Segunda-feira
Período: 12:00
Meta/resultado: Ponto do almoço registrado.
Onde comprovar: Sistema de ponto
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro biométrico
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,13:00 - Registrar retorno do almoço no ponto biométrico.,"Dia/recorrência: Segunda-feira
Período: 13:00
Meta/resultado: Ponto de retorno registrado.
Onde comprovar: Sistema de ponto
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro biométrico
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,"13:00-14:30 - Conduzir ou apoiar aulas, reposições, oficinas ou aulas experimentais programada","Dia/recorrência: Segunda-feira
Período: 13:00-14:30
Meta/resultado: Atividades executadas conforme agenda.
Onde comprovar: Sistema/planilha
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Registro de aula/frequência
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
Segunda-feira,14:30-14:45 / quando houver Aula Experimental - Informar Maria Eduarda que a Aula Experimental foi realizada e repassar nome do,"Dia/recorrência: Segunda-feira
Período: 14:30-14:45 / quando houver Aula Experimental
Meta/resultado: 100% das aulas experimentais comunicadas ao comercial.
Onde comprovar: WhatsApp interno/agenda
Observações: executar dentro da jornada e registrar evidência.

Frequência: Diário
Evidência esperada: Mensagem objetiva enviada à Maria Eduarda
Categoria original: Rotina diária
Etiquetas sugeridas: Diário
Checklist sugerido:
- Executar tarefa
- Registrar evidência
- Atualizar status/observações

Status inicial no Trello: Previsto. Ao executar, trocar etiqueta para Em andamento; ao finalizar e registrar evidência, trocar para Concluído.

Status inicial: Previsto
Orientação de uso no Trello: ao iniciar a tarefa, marcar manualmente como 'Em andamento'; ao finalizar, marcar como 'Concluído'."
